country,name,lat,long
China,Shanghai,31.2304,121.4737
India,Delhi,28.6139,77.2090
China,Beijing,39.9042,116.4074
India,Mumbai,19.0760,72.8777
Brazil,São Paulo,-23.5505,-46.6333
Mexico,Mexico City,19.4326,-99.1332
Egypt,Cairo,30.0444,31.2357
Bangladesh,Dhaka,23.8103,90.4125
India,Kolkata,22.5726,88.3639
Pakistan,Karachi,24.8607,67.0011
Turkey,Istanbul,41.0082,28.9784
USA,New York City,40.7128,-74.0060
Argentina,Buenos Aires,-34.6037,-58.3816
China,Chongqing,29.4316,106.9123
Philippines,Manila,14.5995,120.9842
Nigeria,Lagos,6.5244,3.3792
Japan,Tokyo,35.6762,139.6503
Indonesia,Jakarta,-6.2088,106.8456
DR Congo,Kinshasa,-4.4419,15.2663
Iran,Tehran,35.6892,51.3890
Thailand,Bangkok,13.7563,100.5018
South Korea,Seoul,37.5665,126.9780
Russia,Moscow,55.7558,37.6173
Vietnam,Ho Chi Minh City,10.8231,106.6297
Peru,Lima,-12.0464,-77.0428
UK,London,51.5074,-0.1278
France,Paris,48.8566,2.3522
Colombia,Bogotá,4.7110,-74.0721
Chile,Santiago,-33.4489,-70.6693
Iraq,Baghdad,33.3152,44.3661
Saudi Arabia,Riyadh,24.7136,46.6753
Singapore,Singapore,1.3521,103.8198
UAE,Dubai,25.276987,55.296249
Spain,Madrid,40.4168,-3.7038
USA,Los Angeles,34.0522,-118.2437
Germany,Berlin,52.5200,13.4050
Ukraine,Kyiv,50.4501,30.5234
Malaysia,Kuala Lumpur,3.1390,101.6869
Italy,Rome,41.9028,12.4964
South Africa,Johannesburg,-26.2041,28.0473
Canada,Toronto,43.6532,-79.3832
Australia,Sydney,-33.8688,151.2093
Pakistan,Lahore,31.5204,74.3587
China,Guangzhou,23.1291,113.2644
India,Bengaluru,12.9716,77.5946
USA,Chicago,41.8781,-87.6298
Brazil,Rio de Janeiro,-22.9068,-43.1729
Myanmar,Yangon,16.8409,96.1735
Ethiopia,Addis Ababa,9.0300,38.7400
Venezuela,Caracas,10.4806,-66.9036
Kenya,Nairobi,-1.2921,36.8219
